name,slug,type,website,phone,email,address,coverage,trust_score,gphc_registered,cqc_regulated,mhra_compliant,gmc_doctors,medications,consultation_fee,consultation_method,bmi_requirement,wait_time,special_offers,delivery_options,locations,rating,review_count,image_url,logo_url,description,id,created_date,updated_date,created_by_id,is_sample
"Boots Online Doctor","boots-online-doctor","Online Doctor Service","https://onlinedoctor.boots.com","","","","","","","","","","{""2.5mg"":219,""5mg"":219,""7.5mg"":229,""10mg"":229,""12.5mg"":249,""15mg"":249,""0.25mg"":199,""0.5mg"":199,""1mg"":199,""1.7mg"":249,""2.4mg"":299,""not offered"":null}","15","","","2-24 hours","20% off all Boots Online Doctor Skin Services with code 'SKIN20'","","[]","2.75","51","","","Boots Online Doctor offers convenient online consultations for various health conditions, providing prescription treatments and home test kits with options for in-store pickup or free home delivery.","688af5dd78330f628025baf7","2025-07-31T04:49:33.909000","2025-08-02T23:21:23.610000","6886aa4a7118eb838f680beb",""
"Click2Pharmacy","click2pharmacy","Pharmacy Chain","https://www.click2pharmacy.co.uk","","","","","","","","","","{""2.5mg"":130,""5mg"":138.99,""7.5mg"":169,""10mg"":183.99,""12.5mg"":199,""15mg"":229,""0.25mg"":125,""0.5mg"":137.99,""1mg"":148.99,""1.7mg"":219.99,""2.4mg"":253.99,""1 pen"":69.99,""2 pens"":135,""3 pens"":199.98,""4 pens"":265}","","","","Same day","Free delivery on orders over £40","","[]","4.7","2000","","","Click2Pharmacy is a UK-based independent pharmacy offering affordable, high-quality prescription treatments and medicines. They provide online consultations for various conditions, including acne, erectile dysfunction, and weight loss, and operate a local clinic in Oldham, offering services like blood tests, PCR tests, walk-in clinics, holiday vaccinations, and ear wax removal.","688af5dd78330f628025baf8","2025-07-31T04:49:33.913000","2025-08-02T23:21:26.982000","6886aa4a7118eb838f680beb",""
"Plymouth Weight Loss Clinic","","Private Clinic","https://www.plymouthweightloss.co.uk","+44 020 3637 8398","hello@plymouthweightloss.co.uk","Plymouth Weight Loss Clinic, Plymouth, Devon, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Money Back Guarantee","Not Found","","4.4","12257","","","Plymouth Weight Loss Clinic offers a personalized, medically supervised weight loss program combining clinically-proven medications, personal health coaching, and a supportive community to help individuals achieve sustainable weight loss without surgery.","688bd73bcf1d09a2a32b4758","2025-07-31T20:51:07.910000","2025-08-02T23:21:29.829000","6886aa4a7118eb838f680beb",""
"The Care Pharmacy","","Pharmacy Chain","https://thecarepharmacy.com","01274 600785 (Low Moor); 01274 669922 (Bradford)","info@thecarepharmacy.com","214 Huddersfield Road, Bradford BD12 0AD (Low Moor) / Unit 3 Chesterfield House, 3 Mayfair Way, Bradford BD4 8SH","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Not Found","Not Found","","","","","","The Care Pharmacy is a UK-registered online pharmacy based in Bradford and Leeds, specializing in weight management and travel vaccinations. They offer a range of services, including private COVID-19 vaccinations, NHS Pharmacy First, travel and vaccination clinics, earwax removal, sexual health services, free blood pressure testing, erectile dysfunction treatments, stop smoking clinics, and prescription ordering and delivery. The pharmacy is regulated by the NHS and the General Pharmaceutical Council, ensuring high standards of service. They provide quick order processing, discreet packaging, and fast delivery to their customers.","688bd73bcf1d09a2a32b4759","2025-07-31T20:51:07.930000","2025-08-02T23:19:34.807000","6886aa4a7118eb838f680beb",""
"Bolt Pharmacy","","Online Doctor Service","https://www.well.co.uk/weight-loss","Not Found","Not Found","Not Found","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""£120.90"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£152.90"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£182.90"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£182.90"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£202.90"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£202.90"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","Same day","1st month promo £29 off","Not Found","","4.8","230","https://www.well.co.uk/weight-loss","","Bolt Pharmacy offers clinically proven weight loss treatments, including GLP-1 medications like Mounjaro® and Wegovy®, with transparent pricing and personalized support.","688bd73bcf1d09a2a32b475a","2025-07-31T20:51:07.957000","2025-08-02T23:21:38.662000","6886aa4a7118eb838f680beb",""
"Click2Pharmacy","","Private Clinic","https://click2pharmacy.co.uk","0161 628 7821 (for Oldham clinic)","hello@click2pharmacy.co.uk","33 Werneth Hall Road, Oldham, Lancashire, OL8 4BB, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""£130.00"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£138.99"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£169.00"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£183.99"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£199.00"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£229.00"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""1 pen: £69.99; 2 pens: £135.00; 3 pens: £199.98; 4 pens: £265.00"",""availability"":""Available""},""Wegovy_0_25mg"":{""price"":""£125.00"",""availability"":""Available""},""Wegovy_0_5mg"":{""price"":""£137.99"",""availability"":""Available""},""Wegovy_1mg"":{""price"":""£148.99"",""availability"":""Available""},""Wegovy_1_7mg"":{""price"":""£219.99"",""availability"":""Available""},""Wegovy_2_4mg"":{""price"":""£253.99"",""availability"":""Available""}}","","Not Found","","Same day","Free delivery on orders over £40","Not Found","","4.7","2000","https://www.click2pharmacy.co.uk","","Click2Pharmacy is a UK-based independent pharmacy offering affordable, high-quality prescription treatments and medicines. They provide online consultations for various conditions, including acne, erectile dysfunction, emergency contraception, and weight loss. Their services are registered with the General Pharmaceutical Council (GPhC) and the NHS.","688bd73bcf1d09a2a32b475b","2025-07-31T20:51:07.975000","2025-08-02T23:21:41.345000","6886aa4a7118eb838f680beb",""
"Numan","","Online Doctor Service","https://www.numan.com","Not provided","Not provided","Floor 4, Farringdon Point, 33 Farringdon Road, London EC1M 3JF","UK wide","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","40","Online consultation + medical team review","","Same day","Discounted initial consultations from £40.00 to £20.00.","Free for orders over £30, £3.99 standard","","4.5","25000","","","Numan offers a range of men's health services, including weight loss programs, erectile dysfunction treatments, hair loss solutions, and personalized blood tests. They provide free, discreet delivery and ongoing clinical support from UK-licensed clinicians.","688bd73bcf1d09a2a32b475c","2025-07-31T20:51:07.996000","2025-08-02T23:21:46.818000","6886aa4a7118eb838f680beb",""
"response","","Online Doctor Service","https://www.cloudpharmacy.co.uk","Not Found","Not Found","Not Found","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""£126.99"",""availability"":""Available""},""Mounjaro_5mg"":{""price"":""£140.99"",""availability"":""Available""},""Mounjaro_7_5mg"":{""price"":""£151.99"",""availability"":""Available""},""Mounjaro_10mg"":{""price"":""£161.99"",""availability"":""Available""},""Mounjaro_12_5mg"":{""price"":""£186.99"",""availability"":""Available""},""Mounjaro_15mg"":{""price"":""£196.99"",""availability"":""Available""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Free Standard Delivery Over £50","Not Found","","","","https://www.cloudpharmacy.co.uk","","Ashcroft Pharmacy is a family-owned, fully regulated UK online pharmacy established in 2015. They offer a wide range of treatments through a free online prescription service, providing safe and discreet delivery of private prescription medication. Their services include weight loss treatments, men's and women's health, and diagnostic kits, all dispensed from their GPhC-registered pharmacy. They are committed to providing quality healthcare products and professional advice, with next working day delivery for all treatments.","688bd73ccf1d09a2a32b475d","2025-07-31T20:51:08.018000","2025-08-02T23:21:50.334000","6886aa4a7118eb838f680beb",""
"Low Moor Medical Practice (NHS)","","Online Doctor Service","https://www.lowmoormp.co.uk","01274 697600","b83029.lowmoor@nhs.net","29 The Plantations, Bradford BD12 0TH, West Yorkshire, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Not Found","Not Found","","2.4","83","","","Low Moor Medical Practice is a GP surgery located at 29 The Plantations, Bradford, West Yorkshire, BD12 0TH. The practice offers a range of services, including health visitor clinics, mental health practitioner sessions, physiotherapy, and ultrasound clinics. They also provide non-urgent advice through the NHS 111 service, available 24/7. The practice is open Monday to Friday from 8:00 am to 6:00 pm and is closed on weekends. For urgent medical help when the practice is closed, patients are advised to call 111 or visit the NHS 111 website.","688bd73ccf1d09a2a32b475f","2025-07-31T20:51:08.024000","2025-08-02T23:21:56.550000","6886aa4a7118eb838f680beb",""
"Chester Weight Loss Clinic","","Private Clinic","https://www.weightlosschester.co.uk","+44 020 3637 8398","hello@weightlosschester.co.uk","Chester Weight Loss Clinic, Chester, North West, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","Same day","Save £50 on your first month","Not Found","","4","347","","","Chester Weight Loss Clinic offers a comprehensive weight loss program combining clinically-proven medications, personal health coaching, and a supportive community to help individuals achieve sustainable weight loss without surgery.","688bd73ccf1d09a2a32b4760","2025-07-31T20:51:08.030000","2025-08-02T23:22:01.120000","6886aa4a7118eb838f680beb",""
"Portsmouth Weight Loss Clinic","","Private Clinic","https://www.portsmouthweightloss.co.uk","+44 020 3637 8398","hello@portsmouthweightloss.co.uk","Portsmouth Weight Loss Clinic, Portsmouth, Hampshire, UK","Not Found","","","","","","{""Mounjaro_2_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_7_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_10mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_12_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Mounjaro_15mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Ozempic_2mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Saxenda_6mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_25mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_0_5mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_1_7mg"":{""price"":""Not Found"",""availability"":""Not Found""},""Wegovy_2_4mg"":{""price"":""Not Found"",""availability"":""Not Found""}}","","Not Found","","","Save £50 on your first month","Not Found","","4.4","12257","","","Portsmouth Weight Loss Clinic offers a personalized, medically supervised weight loss program combining clinically-proven medications, personal health coaching, and a supportive community to help individuals achieve sustainable weight loss without surgery.","688bd73ccf1d09a2a32b4761","2025-07-31T20:51:08.038000","2025-08-02T23:22:05.737000","6886aa4a7118eb838f680beb",""
