"Provider,2.5 mg,5 mg,7.5 mg,10 mg,12.5 mg,15 mg,TrustPilot,GPhC,Notes"
"PillSorted,107.98,107.98,127.98,137.98,157.98,157.98,4.6,9011258,£48 first/£20 repeat[1]"
"Right Angled Pharmacy,123.98,153.98,173.98,183.98,193.98,223.98,4.6,9011933,SUB[1]"
"Second Nature,129.00,129.00,169.00,169.00,199.00,199.00,4.6,9010938,SUB; £100 off first[1]"
"Simple Online Pharmacy,113.63,122.15,148.49,165.49,178.21,178.21,4.6,9011287,15 % off first[1]"
"Superdrug,155.00,155.00,162.00,162.00,176.00,176.00,4.3,9010736,30 % off first[1]"
"Swift Doctor,114.95,120.95,134.95,134.95,154.95,154.95,4.9,9012809,£10 off first[1]"
"The Family Chemist,114.24,123.74,137.99,142.74,161.74,166.49,4.8,9012318,5 % off all orders[1]"
"The Independent Pharmacy,126.64,135.99,144.49,152.99,169.99,169.99,4.8,9012559,15 % off first[1]"
"Tribelle,102.98,112.98,142.98,152.98,172.98,182.98,4.6,9012688,£20 off first[1]"
"Trim,129.00,169.00,169.00,199.00,199.00,199.00,4.8,9012710,SUB; £30 off first[1]"
"Voy,126.75,149.25,160.50,171.75,186.75,186.75,4.7,9012134,SUB; 25 % off[1]"
"Well Pharmacy,153.95,203.95,223.95,233.95,253.95,253.95,4.3,1029521,"
"WePrescribe,99.49,109.49,126.49,131.49,168.49,172.99,4.9,9012132,£40 off/10 % repeat[1]"
"YourPharmacy,116.60,123.53,135.08,146.63,154.33,158.18,4.3,9012029,23 % off first[1]"
"Zava,108.24,108.24,132.99,152.99,167.99,167.99,4.3,9011147,25 % off variants[1]"
